id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,loudness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,-4.8
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,-13.9
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,-3.6
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,-15.0
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,-3.9
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,-17.3
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,-14.4
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,-6.2
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,-13.5
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,-5.1
11,Steel Horizon,Iron Signal,metal,aggressive,0.95,168,0.32,0.71,0.04,-2.9
12,River Letters,Blue Delta,blues,melancholic,0.46,84,0.41,0.49,0.74,-11.8
13,Metro Pulse,Kickback,hip-hop,confident,0.84,96,0.68,0.91,0.12,-4.4
14,Sunset Caravan,Desert Bloom,afrobeats,party,0.88,104,0.79,0.86,0.15,-4.1
15,Back Porch Sunday,North Pine,country,nostalgic,0.39,88,0.57,0.52,0.66,-10.7
16,Still Water,Glass Harbor,classical,serene,0.18,66,0.62,0.24,0.97,-19.2
17,Golden Hour Glow,Parade Line,reggaeton,playful,0.90,110,0.83,0.89,0.09,-3.7
